year,region_code,business_type,sector_type,cluster_type,small business,large business
1999,DR03,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,3271.0,23.0
1999,DR03,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,162.0,4.0
1999,DR03,Utilities,Services-Producing Sector,cluster2,64.0,3.0
1999,DR03,Construction,Services-Producing Sector,cluster1,5462.0,37.0
1999,DR03,Manufacturing,Services-Producing Sector,cluster2,1578.0,77.0
1999,DR03,Wholesale Trade,Goods-Producing Sector,cluster2,1599.0,10.0
1999,DR03,Retail Trade,Goods-Producing Sector,cluster1,3617.0,72.0
1999,DR03,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,1596.0,20.0
1999,DR03,Information & Cultural Industries,Goods-Producing Sector,cluster1,252.0,8.0
1999,DR03,Finance & Insurance,Goods-Producing Sector,cluster1,1422.0,16.0
1999,DR03,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,2885.0,13.0
1999,DR03,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,2685.0,7.0
1999,DR03,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,1052.0,17.0
1999,DR03,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,1423.0,8.0
1999,DR03,Educational Services,Goods-Producing Sector,cluster1,229.0,26.0
1999,DR03,Health Care & Social Assistance,Goods-Producing Sector,cluster1,1688.0,66.0
1999,DR03,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,566.0,17.0
1999,DR03,Accommodation & Food Services,Goods-Producing Sector,cluster2,2103.0,104.0
1999,DR03,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,2468.0,8.0
1999,DR03,Public Administration,Goods-Producing Sector,cluster1,145.0,16.0
1999,DR04,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,931.0,12.0
1999,DR04,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,57.0,6.0
1999,DR04,Utilities,Services-Producing Sector,cluster2,26.0,1.0
1999,DR04,Construction,Services-Producing Sector,cluster1,1417.0,7.0
1999,DR04,Manufacturing,Services-Producing Sector,cluster2,437.0,22.0
1999,DR04,Wholesale Trade,Goods-Producing Sector,cluster2,374.0,3.0
1999,DR04,Retail Trade,Goods-Producing Sector,cluster1,1252.0,18.0
1999,DR04,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,498.0,1.0
1999,DR04,Information & Cultural Industries,Goods-Producing Sector,cluster1,99.0,1.0
1999,DR04,Finance & Insurance,Goods-Producing Sector,cluster1,276.0,5.0
1999,DR04,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,670.0,1.0
1999,DR04,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,730.0,1.0
1999,DR04,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,191.0,2.0
1999,DR04,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,377.0,2.0
1999,DR04,Educational Services,Goods-Producing Sector,cluster1,75.0,14.0
1999,DR04,Health Care & Social Assistance,Goods-Producing Sector,cluster1,490.0,40.0
1999,DR04,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,239.0,12.0
1999,DR04,Accommodation & Food Services,Goods-Producing Sector,cluster2,791.0,20.0
1999,DR04,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,826.0,0.0
1999,DR04,Public Administration,Goods-Producing Sector,cluster1,79.0,11.0
1999,DR05,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,2029.0,22.0
1999,DR05,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,29.0,2.0
1999,DR05,Utilities,Services-Producing Sector,cluster2,14.0,0.0
1999,DR05,Construction,Services-Producing Sector,cluster1,1778.0,19.0
1999,DR05,Manufacturing,Services-Producing Sector,cluster2,473.0,49.0
1999,DR05,Wholesale Trade,Goods-Producing Sector,cluster2,445.0,4.0
1999,DR05,Retail Trade,Goods-Producing Sector,cluster1,1121.0,31.0
1999,DR05,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,1110.0,9.0
1999,DR05,Information & Cultural Industries,Goods-Producing Sector,cluster1,78.0,4.0
1999,DR05,Finance & Insurance,Goods-Producing Sector,cluster1,303.0,8.0
1999,DR05,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,863.0,3.0
1999,DR05,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,814.0,7.0
1999,DR05,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,251.0,4.0
1999,DR05,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,417.0,4.0
1999,DR05,Educational Services,Goods-Producing Sector,cluster1,66.0,5.0
1999,DR05,Health Care & Social Assistance,Goods-Producing Sector,cluster1,511.0,18.0
1999,DR05,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,157.0,4.0
1999,DR05,Accommodation & Food Services,Goods-Producing Sector,cluster2,665.0,32.0
1999,DR05,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,947.0,1.0
1999,DR05,Public Administration,Goods-Producing Sector,cluster1,43.0,7.0
1999,DR06,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,706.0,6.0
1999,DR06,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,8.0,1.0
1999,DR06,Utilities,Services-Producing Sector,cluster2,7.0,2.0
1999,DR06,Construction,Services-Producing Sector,cluster1,491.0,2.0
1999,DR06,Manufacturing,Services-Producing Sector,cluster2,125.0,13.0
1999,DR06,Wholesale Trade,Goods-Producing Sector,cluster2,141.0,0.0
1999,DR06,Retail Trade,Goods-Producing Sector,cluster1,419.0,16.0
1999,DR06,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,327.0,6.0
1999,DR06,Information & Cultural Industries,Goods-Producing Sector,cluster1,28.0,3.0
1999,DR06,Finance & Insurance,Goods-Producing Sector,cluster1,95.0,3.0
1999,DR06,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,222.0,1.0
1999,DR06,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,224.0,2.0
1999,DR06,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,54.0,1.0
1999,DR06,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,168.0,0.0
1999,DR06,Educational Services,Goods-Producing Sector,cluster1,23.0,7.0
1999,DR06,Health Care & Social Assistance,Goods-Producing Sector,cluster1,188.0,11.0
1999,DR06,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,71.0,0.0
1999,DR06,Accommodation & Food Services,Goods-Producing Sector,cluster2,245.0,8.0
1999,DR06,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,287.0,0.0
1999,DR06,Public Administration,Goods-Producing Sector,cluster1,35.0,9.0
1999,DR07,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,937.0,8.0
1999,DR07,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,29.0,2.0
1999,DR07,Utilities,Services-Producing Sector,cluster2,5.0,0.0
1999,DR07,Construction,Services-Producing Sector,cluster1,478.0,2.0
1999,DR07,Manufacturing,Services-Producing Sector,cluster2,128.0,19.0
1999,DR07,Wholesale Trade,Goods-Producing Sector,cluster2,107.0,0.0
1999,DR07,Retail Trade,Goods-Producing Sector,cluster1,346.0,4.0
1999,DR07,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,318.0,2.0
1999,DR07,Information & Cultural Industries,Goods-Producing Sector,cluster1,29.0,0.0
1999,DR07,Finance & Insurance,Goods-Producing Sector,cluster1,69.0,1.0
1999,DR07,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,184.0,0.0
1999,DR07,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,194.0,1.0
1999,DR07,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,52.0,3.0
1999,DR07,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,106.0,0.0
1999,DR07,Educational Services,Goods-Producing Sector,cluster1,30.0,4.0
1999,DR07,Health Care & Social Assistance,Goods-Producing Sector,cluster1,102.0,8.0
1999,DR07,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,66.0,1.0
1999,DR07,Accommodation & Food Services,Goods-Producing Sector,cluster2,228.0,4.0
1999,DR07,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,265.0,0.0
1999,DR07,Public Administration,Goods-Producing Sector,cluster1,26.0,2.0
1999,DR08,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,1011.0,2.0
1999,DR08,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,380.0,8.0
1999,DR08,Utilities,Services-Producing Sector,cluster2,13.0,0.0
1999,DR08,Construction,Services-Producing Sector,cluster1,764.0,14.0
1999,DR08,Manufacturing,Services-Producing Sector,cluster2,169.0,11.0
1999,DR08,Wholesale Trade,Goods-Producing Sector,cluster2,216.0,0.0
1999,DR08,Retail Trade,Goods-Producing Sector,cluster1,440.0,8.0
1999,DR08,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,616.0,5.0
1999,DR08,Information & Cultural Industries,Goods-Producing Sector,cluster1,37.0,0.0
1999,DR08,Finance & Insurance,Goods-Producing Sector,cluster1,108.0,4.0
1999,DR08,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,284.0,0.0
1999,DR08,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,368.0,0.0
1999,DR08,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,67.0,0.0
1999,DR08,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,216.0,1.0
1999,DR08,Educational Services,Goods-Producing Sector,cluster1,30.0,4.0
1999,DR08,Health Care & Social Assistance,Goods-Producing Sector,cluster1,179.0,12.0
1999,DR08,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,74.0,0.0
1999,DR08,Accommodation & Food Services,Goods-Producing Sector,cluster2,280.0,13.0
1999,DR08,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,569.0,1.0
1999,DR08,Public Administration,Goods-Producing Sector,cluster1,11.0,5.0
2000,DR01,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,2620.0,55.0
2000,DR01,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,108.0,6.0
2000,DR01,Utilities,Services-Producing Sector,cluster2,30.0,4.0
2000,DR01,Construction,Services-Producing Sector,cluster1,6626.0,41.0
2000,DR01,Manufacturing,Services-Producing Sector,cluster2,1856.0,94.0
2000,DR01,Wholesale Trade,Goods-Producing Sector,cluster2,1718.0,29.0
2000,DR01,Retail Trade,Goods-Producing Sector,cluster1,4807.0,148.0
2000,DR01,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,1799.0,36.0
2000,DR01,Information & Cultural Industries,Goods-Producing Sector,cluster1,417.0,16.0
2000,DR01,Finance & Insurance,Goods-Producing Sector,cluster1,1821.0,42.0
2000,DR01,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,4031.0,29.0
2000,DR01,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,5445.0,29.0
2000,DR01,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,1545.0,15.0
2000,DR01,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,1974.0,32.0
2000,DR01,Educational Services,Goods-Producing Sector,cluster1,415.0,35.0
2000,DR01,Health Care & Social Assistance,Goods-Producing Sector,cluster1,2947.0,117.0
2000,DR01,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,811.0,20.0
2000,DR01,Accommodation & Food Services,Goods-Producing Sector,cluster2,2540.0,187.0
2000,DR01,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,3267.0,24.0
2000,DR01,Public Administration,Goods-Producing Sector,cluster1,168.0,51.0
2000,DR02,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,4955.0,94.0
2000,DR02,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,844.0,22.0
2000,DR02,Utilities,Services-Producing Sector,cluster2,89.0,14.0
2000,DR02,Construction,Services-Producing Sector,cluster1,21421.0,318.0
2000,DR02,Manufacturing,Services-Producing Sector,cluster2,7783.0,661.0
2000,DR02,Wholesale Trade,Goods-Producing Sector,cluster2,12006.0,342.0
2000,DR02,Retail Trade,Goods-Producing Sector,cluster1,14116.0,510.0
2000,DR02,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,7492.0,202.0
2000,DR02,Information & Cultural Industries,Goods-Producing Sector,cluster1,2968.0,144.0
2000,DR02,Finance & Insurance,Goods-Producing Sector,cluster1,9746.0,199.0
2000,DR02,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,17644.0,173.0
2000,DR02,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,23531.0,340.0
2000,DR02,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,7292.0,121.0
2000,DR02,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,8055.0,221.0
2000,DR02,Educational Services,Goods-Producing Sector,cluster1,1513.0,98.0
2000,DR02,Health Care & Social Assistance,Goods-Producing Sector,cluster1,7827.0,310.0
2000,DR02,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,2722.0,123.0
2000,DR02,Accommodation & Food Services,Goods-Producing Sector,cluster2,7454.0,736.0
2000,DR02,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,10758.0,149.0
2000,DR02,Public Administration,Goods-Producing Sector,cluster1,144.0,76.0
2000,DR03,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,3254.0,27.0
2000,DR03,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,155.0,3.0
2000,DR03,Utilities,Services-Producing Sector,cluster2,67.0,3.0
2000,DR03,Construction,Services-Producing Sector,cluster1,5292.0,42.0
2000,DR03,Manufacturing,Services-Producing Sector,cluster2,1496.0,93.0
2000,DR03,Wholesale Trade,Goods-Producing Sector,cluster2,1568.0,16.0
2000,DR03,Retail Trade,Goods-Producing Sector,cluster1,3444.0,107.0
2000,DR03,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,1588.0,26.0
2000,DR03,Information & Cultural Industries,Goods-Producing Sector,cluster1,264.0,10.0
2000,DR03,Finance & Insurance,Goods-Producing Sector,cluster1,1422.0,16.0
2000,DR03,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,2997.0,23.0
2000,DR03,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,2809.0,14.0
2000,DR03,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,1241.0,8.0
2000,DR03,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,1392.0,13.0
2000,DR03,Educational Services,Goods-Producing Sector,cluster1,261.0,22.0
2000,DR03,Health Care & Social Assistance,Goods-Producing Sector,cluster1,1694.0,71.0
2000,DR03,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,568.0,19.0
2000,DR03,Accommodation & Food Services,Goods-Producing Sector,cluster2,2032.0,126.0
2000,DR03,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,2478.0,10.0
2000,DR03,Public Administration,Goods-Producing Sector,cluster1,137.0,20.0
2000,DR04,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,908.0,12.0
2000,DR04,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,62.0,6.0
2000,DR04,Utilities,Services-Producing Sector,cluster2,26.0,1.0
2000,DR04,Construction,Services-Producing Sector,cluster1,1419.0,13.0
2000,DR04,Manufacturing,Services-Producing Sector,cluster2,432.0,25.0
2000,DR04,Wholesale Trade,Goods-Producing Sector,cluster2,351.0,3.0
2000,DR04,Retail Trade,Goods-Producing Sector,cluster1,1233.0,31.0
2000,DR04,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,498.0,3.0
2000,DR04,Information & Cultural Industries,Goods-Producing Sector,cluster1,98.0,0.0
2000,DR04,Finance & Insurance,Goods-Producing Sector,cluster1,262.0,5.0
2000,DR04,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,689.0,1.0
2000,DR04,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,763.0,2.0
2000,DR04,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,222.0,1.0
2000,DR04,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,362.0,1.0
2000,DR04,Educational Services,Goods-Producing Sector,cluster1,73.0,14.0
2000,DR04,Health Care & Social Assistance,Goods-Producing Sector,cluster1,505.0,38.0
2000,DR04,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,248.0,12.0
2000,DR04,Accommodation & Food Services,Goods-Producing Sector,cluster2,793.0,25.0
2000,DR04,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,814.0,2.0
2000,DR04,Public Administration,Goods-Producing Sector,cluster1,78.0,11.0
2000,DR05,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,2060.0,26.0
2000,DR05,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,29.0,1.0
2000,DR05,Utilities,Services-Producing Sector,cluster2,13.0,0.0
2000,DR05,Construction,Services-Producing Sector,cluster1,1673.0,21.0
2000,DR05,Manufacturing,Services-Producing Sector,cluster2,420.0,53.0
2000,DR05,Wholesale Trade,Goods-Producing Sector,cluster2,423.0,5.0
2000,DR05,Retail Trade,Goods-Producing Sector,cluster1,1047.0,39.0
2000,DR05,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,1103.0,14.0
2000,DR05,Information & Cultural Industries,Goods-Producing Sector,cluster1,75.0,4.0
2000,DR05,Finance & Insurance,Goods-Producing Sector,cluster1,308.0,5.0
2000,DR05,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,861.0,5.0
2000,DR05,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,819.0,6.0
2000,DR05,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,300.0,3.0
2000,DR05,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,392.0,7.0
2000,DR05,Educational Services,Goods-Producing Sector,cluster1,60.0,5.0
2000,DR05,Health Care & Social Assistance,Goods-Producing Sector,cluster1,505.0,19.0
2000,DR05,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,155.0,3.0
2000,DR05,Accommodation & Food Services,Goods-Producing Sector,cluster2,652.0,27.0
2000,DR05,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,924.0,3.0
2000,DR05,Public Administration,Goods-Producing Sector,cluster1,40.0,8.0
2000,DR06,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,697.0,8.0
2000,DR06,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,6.0,0.0
2000,DR06,Utilities,Services-Producing Sector,cluster2,7.0,2.0
2000,DR06,Construction,Services-Producing Sector,cluster1,447.0,5.0
2000,DR06,Manufacturing,Services-Producing Sector,cluster2,119.0,15.0
2000,DR06,Wholesale Trade,Goods-Producing Sector,cluster2,123.0,3.0
2000,DR06,Retail Trade,Goods-Producing Sector,cluster1,408.0,15.0
2000,DR06,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,333.0,7.0
2000,DR06,Information & Cultural Industries,Goods-Producing Sector,cluster1,30.0,4.0
2000,DR06,Finance & Insurance,Goods-Producing Sector,cluster1,87.0,2.0
2000,DR06,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,220.0,2.0
2000,DR06,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,245.0,1.0
2000,DR06,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,70.0,2.0
2000,DR06,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,173.0,1.0
2000,DR06,Educational Services,Goods-Producing Sector,cluster1,22.0,7.0
2000,DR06,Health Care & Social Assistance,Goods-Producing Sector,cluster1,191.0,14.0
2000,DR06,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,68.0,0.0
2000,DR06,Accommodation & Food Services,Goods-Producing Sector,cluster2,229.0,6.0
2000,DR06,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,294.0,1.0
2000,DR06,Public Administration,Goods-Producing Sector,cluster1,34.0,10.0
2000,DR07,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,943.0,10.0
2000,DR07,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,29.0,3.0
2000,DR07,Utilities,Services-Producing Sector,cluster2,5.0,0.0
2000,DR07,Construction,Services-Producing Sector,cluster1,461.0,3.0
2000,DR07,Manufacturing,Services-Producing Sector,cluster2,136.0,16.0
2000,DR07,Wholesale Trade,Goods-Producing Sector,cluster2,98.0,1.0
2000,DR07,Retail Trade,Goods-Producing Sector,cluster1,320.0,6.0
2000,DR07,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,310.0,5.0
2000,DR07,Information & Cultural Industries,Goods-Producing Sector,cluster1,28.0,0.0
2000,DR07,Finance & Insurance,Goods-Producing Sector,cluster1,66.0,1.0
2000,DR07,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,182.0,0.0
2000,DR07,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,206.0,3.0
2000,DR07,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,69.0,0.0
2000,DR07,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,100.0,0.0
2000,DR07,Educational Services,Goods-Producing Sector,cluster1,23.0,4.0
2000,DR07,Health Care & Social Assistance,Goods-Producing Sector,cluster1,110.0,5.0
2000,DR07,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,70.0,1.0
2000,DR07,Accommodation & Food Services,Goods-Producing Sector,cluster2,217.0,4.0
2000,DR07,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,260.0,1.0
2000,DR07,Public Administration,Goods-Producing Sector,cluster1,26.0,2.0
2000,DR08,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,1032.0,0.0
2000,DR08,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,364.0,7.0
2000,DR08,Utilities,Services-Producing Sector,cluster2,10.0,0.0
2000,DR08,Construction,Services-Producing Sector,cluster1,728.0,21.0
2000,DR08,Manufacturing,Services-Producing Sector,cluster2,146.0,11.0
2000,DR08,Wholesale Trade,Goods-Producing Sector,cluster2,204.0,5.0
2000,DR08,Retail Trade,Goods-Producing Sector,cluster1,407.0,10.0
2000,DR08,Transportation & Warehousing (48-49),Goods-Producing Sector,cluster2,593.0,8.0
2000,DR08,Information & Cultural Industries,Goods-Producing Sector,cluster1,43.0,0.0
2000,DR08,Finance & Insurance,Goods-Producing Sector,cluster1,104.0,1.0
2000,DR08,Real Estate & Rental & Leasing,Goods-Producing Sector,cluster1,283.0,1.0
2000,DR08,"Professional, Scientific & Technical Services",Goods-Producing Sector,cluster1,374.0,1.0
2000,DR08,Management of Companies & Enterprises,Goods-Producing Sector,cluster2,84.0,0.0
2000,DR08,"Admin. & Support, Waste Mgmt. & Remedtn.",Goods-Producing Sector,cluster1,215.0,0.0
2000,DR08,Educational Services,Goods-Producing Sector,cluster1,26.0,4.0
2000,DR08,Health Care & Social Assistance,Goods-Producing Sector,cluster1,176.0,13.0
2000,DR08,"Arts, Entertainment & Recreation",Goods-Producing Sector,cluster2,73.0,0.0
2000,DR08,Accommodation & Food Services,Goods-Producing Sector,cluster2,260.0,20.0
2000,DR08,Other Services (excl. Public Administration),Goods-Producing Sector,cluster2,554.0,0.0
2000,DR08,Public Administration,Goods-Producing Sector,cluster1,9.0,7.0
2001,DR01,"Agriculture, Forestry, Fishing & Hunting",Services-Producing Sector,cluster1,2947.0,57.0
2001,DR01,Mining & Oil & Gas Extraction,Services-Producing Sector,cluster2,118.0,5.0
2001,DR01,Utilities,Services-Producing Sector,cluster2,30.0,2.0
